Model,Accuracy,Precision,Recall,F1-Score
Mobilenet,0.9957081545064378,0.9959677419354839,0.9954545454545455,0.9956926034791932
VGG19,0.9957081545064378,0.9954954954954955,0.9959349593495934,0.9956967402345553
Densenet,0.9914163090128756,0.9910714285714286,0.9918699186991871,0.9913971348397578
Resnet,0.9828326180257511,0.9824561403508771,0.983739837398374,0.9828069657615113
ViT,0.8583690987124464,0.8623548922056384,0.8552845528455284,0.8568502969485972
